percent_population_change,percent_people_over_65,percent_african_american,percent_hispanic,percent_hs_grad,percent_bachelor,rate_homeownership,median_house_value,median_hh_income,percent_poverty,percent_vote_difference
-2.8,23.5,2.1,11.5,89.1,19.5,69.9,269400,48426,14.5,0.5
2.8,13.6,2.2,42,82.8,31.4,64.9,442200,76544,11.1,-15.5
3.4,11.5,3,31.5,84.3,37.9,52.9,314300,55918,19.1,-18.7
2.5,11.4,4,27.2,79,13.7,59.1,171000,44902,21.6,1.9
8.8,9.6,3.7,38.8,81.4,20.9,65.6,186600,56270,14.2,2.3
4.7,12.6,1.9,45.5,84.7,24.2,61.5,137300,34520,26.5,8.9
8.2,11.9,10.9,18.8,91.4,38.8,62.7,230700,60651,12.1,-13.2
1.3,22.9,0.5,18.6,91.7,32.9,73.7,279700,48933,9.7,0.8
-3.8,25.7,1.1,10.5,87.3,17.2,74.4,73500,38829,15.2,9.8
-13.4,16.9,7.2,31.8,79.4,8.8,63.5,75500,37340,19.1,10.1
6.4,12.2,1.1,13.8,93.9,58.3,63.1,350900,67956,14.2,-21.7
11.2,12.2,1.4,12,94.9,47.5,68.3,275900,77998,7.1,-16.7
3.1,23,1.7,10.2,91.1,33.9,76.2,262300,46504,8,-0.8
1.9,18.2,0.7,12.7,87,21.3,76.5,81700,51641,7.2,2.4
1.1,17.9,0.9,5.5,96.6,39.8,81.3,268500,67259,10.2,3.3
0.1,17.4,0.7,54.1,82.6,19.1,77.3,109700,34526,19.4,6.6
1.2,25.8,1.9,64.3,76.5,19.5,79.6,93800,29145,22.2,30.9
-8,13,9.3,30.3,75.2,12.3,79.6,78800,31477,29.1,15
2.5,29,1.2,5.3,94.6,32.7,80.6,216200,32427,14.6,2
-3.5,23.5,0.7,14.7,87.8,18.3,75.7,191200,42078,15.5,1.3
10.6,10.9,10.2,30.8,85.4,42.9,50.2,249100,50313,19.1,-23.1
-4.2,22,0.3,5.1,88.8,18.4,80.8,121800,37750,14.9,10.6
10.2,9.9,1.4,8.3,97.5,55.8,80.9,335600,101591,3.9,-12.4
1.4,8.1,1,30,88.7,47,66,453300,74456,10.9,-13.4
4.8,13.9,0.8,6.4,96.6,29.6,90.4,333600,82118,6.5,1.4
6.6,11.5,7,16.3,93.6,35.2,63.7,213500,57125,12.4,-5.2
-0.7,20.3,4,13,84.1,15.6,70.7,159500,39943,17.6,6.6
1.9,10.7,1.2,28.1,85.2,26.6,64.8,302700,57022,11.9,-3.3
7.5,13.2,1.8,6.4,94.4,29.1,75.5,281700,63885,10.8,8.4
-2,13.9,0.5,8,94.4,32.8,74.9,282000,64664,11.1,0.7
2.6,11.2,0.5,9.3,93.3,54.5,59.1,329500,52332,17.7,-11
-6.8,25.7,0.5,3.7,93.8,42.2,78.9,261700,56667,5.1,-2.2
-3.7,29.7,1,34.4,84.7,28,72.5,152400,33298,20.6,11.5
0.1,20.9,0.1,11,88.7,22.2,72.2,123200,43606,8.9,3
4.5,14.7,1.3,15.2,93.7,40.7,70.6,262400,68984,8.6,-9.8
0.3,24.1,0.7,6.3,92.2,20.6,72.8,79400,40813,17.4,3.2
-2.4,17.2,2.5,19.3,84,13.5,65.8,121600,44157,13.8,6
0.6,11,0.7,37.8,86.8,28.1,65.6,164400,44610,14.3,9.6
5.2,14.2,0.6,12.6,94.2,41.4,66.5,339400,58080,11.4,-7.9
8.2,13.9,1.1,11.1,94.4,43.8,65.6,247100,58626,14.1,-7.6
-9.4,22.3,1.8,42.5,84.3,16.3,69.4,151500,42261,17.8,14.9
0.7,17.4,5.6,13.4,81.5,15.6,68.3,115000,41910,13.7,5.4
-0.8,15.7,4.3,16.1,88.7,15.8,69.4,119800,40415,17.6,10.5
1,16.9,1,14.1,89.6,25.7,71.7,210100,49471,14.7,-1.6
-2,26.5,0.4,4.4,96.5,39.3,83.7,275000,47083,6.4,-0.3
-6.3,12.9,0.5,14.3,89.2,15.6,75.9,176500,53231,11.5,6.4
0.9,19.1,0.5,12.2,89.9,27.3,70.5,189400,43188,19.3,1.5
-1,21.3,0.7,20.2,85.7,24.5,73.1,193700,45718,16,1.1
0.6,15.4,3.1,35.3,78.8,15.1,63.5,137000,43774,13.3,10.6
-1.8,19,1.2,41,83,15.5,64.7,91800,33848,25.2,10.5
4.4,24.6,0.2,5.5,98.4,47.5,75.4,383900,64601,5.6,-11.9
0.9,16.2,0.6,6.2,95.6,32,88.5,247300,61570,9.1,5.2
-1.8,20.8,1,20.6,85.6,16.8,69.2,132700,43011,19.9,6.3
2.8,15.6,0.8,9.9,96,56.8,68.7,611200,72745,10.1,-19.3
-4.1,16.1,0.8,36.4,79.2,14.1,65.8,86100,34391,23.3,5.9
1.8,17.1,2.5,42.5,87.1,21.5,65.7,138700,41777,19.1,9.1
0.6,13.7,1.1,11.1,91.3,23.1,68.8,200400,60128,14.9,0.1
-3.1,18.6,0.7,44.2,84.1,20.3,67.4,129500,38993,19.2,5.1
1.5,12.3,0.6,7,96.9,48,70.6,390100,62002,9.1,-9.1
1.4,18.9,0.8,38.3,78,23.8,66.9,135400,34600,24.7,22.2
3,20.4,0.1,14.2,94.4,24.8,59.8,242300,39583,17.1,1.4
6.5,10.4,0.7,9.6,96.1,53.5,64.4,448000,63594,10.6,-12
-1.3,24.4,0.5,15.1,86.8,15,68.6,81400,40221,18.9,12.9
5,10.8,1,14.7,95.7,47.7,65.9,460000,63697,13.7,-13.7
0.2,18,0.7,6.2,93.6,31.6,81.4,226900,59040,7,3.6
-0.7,20.8,0.8,9.5,90.4,18.5,73.3,110500,44683,13.1,5.2
9.8,11.1,1.4,28.8,85.6,25.9,70.1,191500,57180,14.7,2.5
1.6,17.4,0.4,21.9,88,17.7,67.4,136600,44308,8.2,5.1
3.1,14.4,12.2,18.7,89,44.8,69,432100,82283,9.1,-14.1
0.4,15.6,15.2,17,88.1,34.9,65.5,241500,64967,11.6,1.2
-2.6,18.4,1.8,5.5,91.3,33.4,78.1,263600,71338,6.4,7.2
-0.4,17.7,5.4,5.8,93.8,39.1,76.2,292000,76994,6.4,6.2
-0.1,15.6,14.2,16.8,88.3,32.9,63.7,256900,61996,12.4,13.6
-0.1,16,6.9,9.9,90.5,31.3,67.5,252900,66583,8.7,9.3
-0.9,14,3.6,5,93,36.9,74.4,254800,80529,6.5,2.7
